"","name","brand","country","city","power","price","km","year","stringAsFactors"
"5337","Cabeza tractora Volvo FH 480","Volvo","HOLANDA","Wijchen",479,NA,540860,"2007",FALSE
"5338","Cabeza tractora Scania 124 360 Steel/Air - Manual - Hydraulics - ADR - CR19","Scania","HOLANDA","Son En Breugel",360,7200,335192,"2000",FALSE
"5339","Cabeza tractora DAF XF 480","DAF","HOLANDA","Nieuwendijk",NA,47900,631000,"2018",FALSE
"5340","Cabeza tractora DAF XF 480","DAF","HOLANDA","S",NA,128500,483,"2022",FALSE
"5341","Cabeza tractora Renault T-Series 460","Renault","BÉLGICA","Bree",459,23950,554000,"2014",FALSE
"5342","Cabeza tractora Renault C 520 EURO 6, Retarder, Hydraulic","Renault","HOLANDA","Ede",519,44800,640000,"2015",FALSE
"5343","Cabeza tractora Volvo FH 460","Volvo","HOLANDA","Barneveld",NA,NA,655000,"2013",FALSE
"5344","Cabeza tractora Iveco Stralis AD 440 S 48 TP","Iveco","ITALIA","Brescia",480,NA,337000,"2016",FALSE
"5345","Cabeza tractora Renault T-Series 460","Renault","ITALIA","Mantova",460,NA,543000,"2017",FALSE
"5346","Cabeza tractora Iveco Stralis AS 440 S51 TP","Iveco","ITALIA","Mantova",NA,NA,293000,"2017",FALSE
"5347","Cabeza tractora Scania R 470","Scania","PORTUGAL","Leiria",470,NA,1247947,"2006",FALSE
"5348","Cabeza tractora Scania R 470","Scania","PORTUGAL","Leiria",470,NA,1178736,"2006",FALSE
"5349","Cabeza tractora Scania R 470","Scania","PORTUGAL","Leiria",440,NA,1315800,"2006",FALSE
"5350","Cabeza tractora Scania R 470","Scania","PORTUGAL","Leiria",470,NA,1311028,"2006",FALSE
"5351","Cabeza tractora MAN TGL 12.210","MAN","HOLANDA","Oud Gastel",205,7950,1076025,"2007",FALSE
"5352","Cabeza tractora DAF CF 460","DAF","BÉLGICA","Roeselare",NA,NA,716000,"2011",FALSE
"5353","Cabeza tractora Mercedes Actros 3351","Mercedes","HOLANDA","Barneveld",NA,NA,320000,"2015",FALSE
"5354","Cabeza tractora Renault T-Series 480 T4X2 E6","Renault","FRANCIA","Alpes",480,NA,587507,"2018",FALSE
"5355","Cabeza tractora MAN TGX 18.460","MAN","ITALIA","Melegnano",NA,49000,630000,"2018",FALSE
"5356","Cabeza tractora Iveco AS440S49T/P","Iveco","ITALIA","Casteggio (Pv)",NA,79980,NA,"2022",FALSE
"5357","Cabeza tractora Renault T-High 480 T4X2 E6","Renault","PORTUGAL","Albergaria",480,NA,683000,"2016",FALSE
"5358","Cabeza tractora Volvo FH13 -440 / AUTOMATIC / GLOBETROTTER / VEB+ / / 2006","Volvo","HOLANDA","Velddriel",440,16250,1006079,"2006",FALSE
"5359","Cabeza tractora Mercedes 1844 EPS 16, 3 pedals, Hydraulic","Mercedes","HOLANDA","Ede",440,17900,322000,"1996",FALSE
"5360","Cabeza tractora Renault T-Series 460","Renault","FRANCIA","Aube",460,NA,535000,"2017",FALSE
"5361","Cabeza tractora Iveco Stralis 460","Iveco","HOLANDA","Etten",459,25950,610363,"2017",FALSE
"5362","Cabeza tractora DAF XF105 XF 105.410 FT SC | * EEV * 2x TANK * APK 03-2023","DAF","HOLANDA","Goes",410,13250,1422248,"2012",FALSE
"5363","Cabeza tractora Mercedes Actros 1936 LS","Mercedes","BÉLGICA","Handzame",360,23900,710842,"2015",FALSE
"5364","Cabeza tractora MAN TGS 18.480 4x4H Kipphydraulik Intarder","MAN","ALEMANIA","Flieden",480,27500,643100,"2011",FALSE
"5365","Cabeza tractora DAF XF 460","DAF","HOLANDA","Ravenstein",459,36900,663840,"2017",FALSE
"5366","Cabeza tractora Renault D-Series 430.19 DTI 11","Est","FRANCIA","Rhône",430,49900,265433,"2018",FALSE
"5367","Cabeza tractora Mercedes Actros 1843","Mercedes","FRANCIA","Var",430,40000,330000,"2016",FALSE
"5368","Cabeza tractora Scania R 620","Scania","HOLANDA","Velddriel",619,28000,1431379,"2008",FALSE
"5369","Cabeza tractora Renault T 460 RHD","Renault","HOLANDA","Hoogerheide",459,19000,7e+05,"2013",FALSE
"5370","Cabeza tractora productos peligrosos / ADR Iveco Stralis AT440S48T/P","Iveco","ITALIA","Modugno",480,55000,384280,"2018",FALSE
"5371","Cabeza tractora Volvo FH FH 500 4x2 SZM*VEB+,ACC,Standklima*","Volvo","ALEMANIA","Nürnberg",510,48600,717761,"2017",FALSE
"5372","Cabeza tractora Volvo FH FH 500 4x2 SZM*Standklima,60Tonnen,ACC*","Volvo","ALEMANIA","Nürnberg",510,48600,705006,"2017",FALSE
"5373","Cabeza tractora Scania S S500 HighLine LL- RETARDER- Leder-ALU-LUFT/LUFT","Scania","ALEMANIA","Wuppertal",501,85890,444000,"2018",FALSE
"5374","Cabeza tractora MAN TGS 18.320","MAN","BÉLGICA","Handzame",320,16950,721000,"2009",FALSE
"5375","Cabeza tractora Iveco Stralis AS 440S48 T/P","Iveco","ITALIA","Moncalieri",480,55000,382000,"2018",FALSE
"5376","Cabeza tractora Iveco Stralis 450 ,LowDeck, Manual,Euro 5","Iveco","POLONIA","Wolsztyn",NA,6350,1289372,"2007",FALSE
"5377","Cabeza tractora MAN 16.240 (19.240) Torpedo Tractor Very Clean Truck","MAN","HOLANDA","'S",NA,14950,270601,"1979",FALSE
"5378","Cabeza tractora MAN TGX","MAN","FRANCIA","Vaucluse",580,NA,430000,"2020",FALSE
"5379","Cabeza tractora Scania R 450","Scania","HOLANDA","Nieuwendijk",NA,73900,510000,"2018",FALSE
"5380","Cabeza tractora DAF XF 106","Est","FRANCIA","Ille",480,68900,224000,"2018",FALSE
"5381","Cabeza tractora DAF XF 106","Est","FRANCIA","Ille",480,68900,224000,"2018",FALSE
"5382","Cabeza tractora Renault T-Series 480 T4X2 E6","Est","FRANCIA","Rhône",480,56900,291397,"2018",FALSE
"5383","Cabeza tractora MAN TGX 18.480","MAN","HOLANDA","Etten",479,31950,784082,"2016",FALSE
"5384","Cabeza tractora DAF XF 106 .460 + + MEGA","DAF","HOLANDA","Etten",459,34950,981487,"2017",FALSE
"5385","Cabeza tractora MAN TGA 18.440","MAN","HOLANDA","Son En Breugel",440,8900,1004786,"2007",FALSE
"5386","Cabeza tractora MAN TGA 26.510","MAN","HOLANDA","Son En Breugel",509,10900,9130,"2003",FALSE
"5387","Cabeza tractora DAF XF105 460","DAF","ITALIA","Arluno",460,NA,434460,"2010",FALSE
"5388","Cabeza tractora Mercedes Actros 1851 L","Mercedes","ITALIA","Arluno",510,NA,607938,"2014",FALSE
"5389","Cabeza tractora DAF XF 460","DAF","FRANCIA","Mayenne",460,30900,530000,"2016",FALSE
"5390","Cabeza tractora Renault C-Series 430.19 DTI 11","Renault","FRANCIA","Seine",430,NA,224000,"2017",FALSE
"5391","Cabeza tractora Volvo FH 420","Volvo","HOLANDA","Etten",NA,35950,1010740,"2015",FALSE
"5392","Cabeza tractora DAF XF 530","DAF","HOLANDA","S",530,79750,310512,"2018",FALSE
"5393","Cabeza tractora Scania R 620","Scania","HOLANDA","S",614,18750,1797616,"2007",FALSE
"5394","Cabeza tractora Iveco Stralis 400","Iveco","HOLANDA","Velddriel",399,23500,398419,"2018",FALSE
"5395","Cabeza tractora Volvo FM 4-450 / AUTOMATIC / ACC / VEB / DAYCABIN / / 2014","Volvo","HOLANDA","Velddriel",450,28500,674452,"2014",FALSE
"5396","Cabeza tractora Volvo FH 4-540 / AUTOMATIC / GLOBETROTTER XL / VEB+ / FRIDGE / / 2015","Volvo","HOLANDA","Velddriel",539,42500,683407,"2015",FALSE
"5397","Cabeza tractora Volvo FM 4-450 / AUTOMATIC / ACC / VEB / DAYCABIN / / 2014","Volvo","HOLANDA","Velddriel",450,28500,623456,"2014",FALSE
"5398","Cabeza tractora Volvo FH 4-540 / AUTOMATIC / GLOBETROTTER XL / VEB+ / FRIDGE / / 2015","Volvo","HOLANDA","Velddriel",539,42500,683407,"2015",FALSE
"5399","Cabeza tractora Volvo FM 4-450 / AUTOMATIC / ACC / VEB / DAYCABIN / / 2014","Volvo","HOLANDA","Velddriel",450,28500,623456,"2014",FALSE
"5400","Cabeza tractora Scania R 500","Scania","HOLANDA","Etten",500,21950,1454865,"2011",FALSE
"5401","Cabeza tractora Mercedes Actros Actros 1845 / VOITH Retarder / Standklimaanlage","Mercedes","ALEMANIA","Salzgitter",449,45350,423861,"2016",FALSE
"5402","Cabeza tractora MAN TGX TGX 18.520*Euro 6*Intarder*XXL*2-Kreis Hydraulik","MAN","ALEMANIA","Mannheim",521,37900,574000,"2016",FALSE
"5403","Cabeza tractora Scania R 410","Scania","PORTUGAL","Pedreiras",NA,32000,881636,"2014",FALSE
"5404","Cabeza tractora DAF XF 480","DAF","FRANCIA","Rhône",NA,61100,474500,"2018",FALSE
"5405","Cabeza tractora Scania P 280","Scania","HOLANDA","Etten",280,17950,677141,"2012",FALSE
"5406","Cabeza tractora DAF XF105 XF 105.410 +","DAF","HOLANDA","Etten",410,12950,895000,"2007",FALSE
"5407","Cabeza tractora productos peligrosos / ADR Renault Premium 460 EEV","Renault","FRANCIA","Rhône",NA,NA,771234,"2011",FALSE
"5408","Cabeza tractora DAF XF 510 FT","DAF","FRANCIA","Pyrénées",510,33000,637520,"2016",FALSE
"5409","Cabeza tractora MAN TGX 18.500 XXL","MAN","ITALIA","Melegnano",NA,40000,509000,"2017",FALSE
"5410","Cabeza tractora Iveco Stralis 500","Iveco","ITALIA","Lainate",500,25000,1250000,"2007",FALSE
