"","name","brand","country","city","power","price","km","year","stringAsFactors"
"181","Cabeza tractora Iveco AS440S46T/P HW EVO AUT INT E6","Iveco","ESPAÑA","Teruel",NA,47900,456984,"2017",FALSE
"182","Cabeza tractora Iveco AS440S48T/P HW EVO AUT INT E6","Iveco","ESPAÑA","Teruel",NA,47900,491011,"2017",FALSE
"183","Cabeza tractora Iveco AS440S48TP Hi Way Euro6 AUT INT","Iveco","ESPAÑA","Teruel",NA,33500,597033,"2016",FALSE
"184","Cabeza tractora Iveco AS440S46TP Hi Way Euro6 AUT INT","Iveco","ESPAÑA","Teruel",NA,34500,554346,"2016",FALSE
"185","Cabeza tractora Iveco AS440S46T/P HW EVO AUT INT E6","Iveco","ESPAÑA","Teruel",NA,47900,455657,"2017",FALSE
"186","Cabeza tractora Iveco AS440S46TP Hi Way Euro6 AUT INT","Iveco","ESPAÑA","Teruel",NA,34500,525372,"2016",FALSE
"187","Cabeza tractora Iveco AS440S46TP Hi Way Euro6 AUT INT","Iveco","ESPAÑA","Teruel",NA,40000,461644,"2017",FALSE
"188","Cabeza tractora Iveco Stralis AS440S51T/P","Iveco","ESPAÑA","Coslada",510,53000,497639,"2017",FALSE
"189","Cabeza tractora Iveco Stralis AS440S51T/P","Iveco","ESPAÑA","Coslada",510,50500,523081,"2017",FALSE
"190","Cabeza tractora Scania R 450","Scania","ESPAÑA","Tarragona",450,52000,670000,"2017",FALSE
"191","Cabeza tractora Renault Premium 440 DXI","Renault","ESPAÑA","Els Hostalets De Pierola",440,8000,1400000,"2005",FALSE
"192","Cabeza tractora Scania R 470","Scania","ESPAÑA","Els Hostalets De Pierola",470,9500,855928,"2005",FALSE
"193","Cabeza tractora Iveco Stralis AS 440 S 46 TP","Iveco","ESPAÑA","Valle De Trápaga",460,52500,357000,"2017",FALSE
"194","Cabeza tractora Iveco Stralis AS 440 S51 TP","Iveco","ESPAÑA","Valle De Trápaga",510,45000,612000,"2017",FALSE
"195","Cabeza tractora productos peligrosos / ADR Iveco Stralis AS 440 S51 TP","Iveco","ESPAÑA","Valle De Trápaga",510,45000,603000,"2017",FALSE
"196","Cabeza tractora Iveco Stralis AS440S48T/P","Iveco","ESPAÑA","Molina De Segura",480,48000,542195,"2017",FALSE
"197","Cabeza tractora Iveco Stralis AS440S46T/P","Iveco","ESPAÑA","Molina De Segura",460,50500,483076,"2017",FALSE
"198","Cabeza tractora Iveco Stralis AS440S48T/P","Iveco","ESPAÑA","Molina De Segura",480,51500,462515,"2017",FALSE
"199","Cabeza tractora Iveco Stralis AS440S46T/P","Iveco","ESPAÑA","Molina De Segura",460,39500,434662,"2016",FALSE
"200","Cabeza tractora Iveco Stralis AS440S46T/P","Iveco","ESPAÑA","Molina De Segura",480,50500,417300,"2017",FALSE
"201","Cabeza tractora Iveco Stralis AS440S48T/P","Iveco","ESPAÑA","Molina De Segura",480,49000,527629,"2017",FALSE
"202","Cabeza tractora Iveco Stralis AS440S48T/P","Iveco","ESPAÑA","Molina De Segura",480,51500,458392,"2017",FALSE
"203","Cabeza tractora Iveco Stralis AS440S46T/P","Iveco","ESPAÑA","Molina De Segura",460,39500,483684,"2016",FALSE
"204","Cabeza tractora Iveco Stralis AS440S46T/P","Iveco","ESPAÑA","Molina De Segura",460,52500,339811,"2017",FALSE
"205","Cabeza tractora Iveco Stralis AS440S46T/P","Iveco","ESPAÑA","Molina De Segura",460,39000,587620,"2016",FALSE
"206","Cabeza tractora Iveco Stralis AS440S48T/P","Iveco","ESPAÑA","Zaragoza",480,45500,477096,"2017",FALSE
"207","Cabeza tractora Iveco Stralis AS440S48T/P","Iveco","ESPAÑA","Zaragoza",480,50400,420677,"2018",FALSE
"208","Cabeza tractora Iveco Stralis AS440S48T/P","Iveco","ESPAÑA","Zaragoza",480,50400,439918,"2018",FALSE
"209","Cabeza tractora Iveco Stralis AT440S48T/P","Iveco","ESPAÑA","Zaragoza",480,48000,404434,"2018",FALSE
"210","Cabeza tractora Iveco Stralis AS 440 S 46 TP","Iveco","ESPAÑA","Zaragoza",460,46500,425358,"2018",FALSE
"211","Cabeza tractora Iveco Stralis AS440S48T/P","Iveco","ESPAÑA","Zaragoza",480,46000,471187,"2017",FALSE
"212","Cabeza tractora Iveco Stralis AS440S46T/P","Iveco","ESPAÑA","Zaragoza",460,45000,464323,"2017",FALSE
"213","Cabeza tractora Iveco Stralis AS440S46T/P","Iveco","ESPAÑA","Zaragoza",460,46500,304762,"2017",FALSE
"214","Cabeza tractora Iveco Stralis AS 440 S51 TP","Iveco","ESPAÑA","Zaragoza",510,49000,430118,"2018",FALSE
"215","Cabeza tractora MAN TGA 18.400 LX","MAN","ESPAÑA","Vera De Bidasoa",400,18000,832100,"2008",FALSE
"216","Cabeza tractora Renault Premium 450 DXI","Renault","ESPAÑA","Vera De Bidasoa",450,7899,1315000,"2007",FALSE
"217","Cabeza tractora productos peligrosos / ADR Iveco Stralis AT 440 S 46 TP","Productos","ESPAÑA","Telde",460,41500,494084,"2016",FALSE
